images\00001.jpg,yellow
images\00002.jpg,yellow
images\00003.jpg,green
images\00004.jpg,blue_cyan
images\00005.jpg,white_silver
images\00006.jpg,red
images\00007.jpg,blue_cyan
images\00008.jpg,yellow
images\00009.jpg,red
images\00010.jpg,yellow
images\00011.jpg,blue_cyan
images\00012.jpg,blue_cyan
images\00013.jpg,yellow
images\00014.jpg,yellow
images\00015.jpg,green
images\00016.jpg,white_silver
images\00017.jpg,blue_cyan
images\00018.jpg,red
images\00019.jpg,white_silver
images\00020.jpg,white_silver
images\00021.jpg,green
images\00022.jpg,black
images\00023.jpg,black
images\00024.jpg,red
images\00025.jpg,red
images\00026.jpg,yellow
images\00027.jpg,red
images\00028.jpg,white_silver
images\00029.jpg,white_silver
images\00030.jpg,green
images\00031.jpg,black
images\00032.jpg,red
images\00033.jpg,yellow
images\00034.jpg,blue_cyan
images\00035.jpg,black
images\00036.jpg,red
images\00037.jpg,green
images\00038.jpg,red
images\00039.jpg,green
images\00040.jpg,yellow
images\00041.jpg,red
images\00042.jpg,blue_cyan
images\00043.jpg,yellow
images\00044.jpg,blue_cyan
images\00045.jpg,blue_cyan
images\00046.jpg,white_silver
images\00047.jpg,green
images\00048.jpg,black
images\00049.jpg,blue_cyan
images\00050.jpg,black
images\00051.jpg,red
images\00052.jpg,green
images\00053.jpg,blue_cyan
images\00054.jpg,blue_cyan
images\00055.jpg,black
images\00056.jpg,yellow
images\00057.jpg,red
images\00058.jpg,green
images\00059.jpg,yellow
images\00060.jpg,red
images\00061.jpg,blue_cyan
images\00062.jpg,white_silver
images\00063.jpg,black
images\00064.jpg,white_silver
images\00065.jpg,green
images\00066.jpg,white_silver
images\00067.jpg,black
images\00068.jpg,red
images\00069.jpg,black
images\00070.jpg,blue_cyan
images\00071.jpg,green
images\00072.jpg,blue_cyan
images\00073.jpg,black
images\00074.jpg,red
images\00075.jpg,white_silver
images\00076.jpg,black
images\00077.jpg,blue_cyan
images\00078.jpg,white_silver
images\00079.jpg,green
images\00080.jpg,green
images\00081.jpg,blue_cyan
images\00082.jpg,green
images\00083.jpg,white_silver
images\00084.jpg,black
images\00085.jpg,white_silver
images\00086.jpg,yellow
images\00087.jpg,black
images\00088.jpg,red
images\00089.jpg,white_silver
images\00090.jpg,blue_cyan
images\00091.jpg,yellow
images\00092.jpg,blue_cyan
images\00093.jpg,blue_cyan
images\00094.jpg,black
images\00095.jpg,white_silver
images\00096.jpg,blue_cyan
